,BRD_ID,Smiles,CID,
0,BRD-K70792160,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12,10521421,
1,BRD-K68552125,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O,27924,
2,BRD-K92301463,CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,5283066,
3,BRD-A29731977,CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,5702072,
4,BRD-K07954936,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12,128878,
5,BRD-K44408410,COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O,66414,
6,BRD-A20131130,CC1OC(CC1O)n1cnc2c(N)ncnc12,3044,
7,BRD-K08703257,NC(=O)c1cccc(N)c1,1645,
8,BRD-A79431551,Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)C(O)C1O,44386188,2
9,BRD-K37846922,C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,3071,
10,BRD-K97118047,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,1694,
11,BRD-K57631554,NCC(=O)CCC(O)=O,137,
12,BRD-K24844714,Fc1c[nH]c(=O)[nH]c1=O,3385,
13,BRD-K88573743,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,10172943,
14,BRD-K49055432,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(n1)C(C)(C)C,42636535,
15,BRD-K41918892,Oc1ccccc1-c1ccc(cc1)-c1csc2[nH]c(=O)c(C#N)c(O)c12,54708532,
16,BRD-A95032015,Nc1nc(NC2CC2)c2ncn(C3C[C@H](CO)C=C3)c2n1,6328608,
17,BRD-K16133773,CC(=O)O[C@H]1CC[C@]2(C)[C@@H]3CC[C@@]4(C)[C@@H](CC=C4c4cccnc4)[C@H]3CC=C2C1,124303645,
18,BRD-A29844814,NC1CCN(C1)c1cccnc1,17928441,
19,BRD-K22749967,C[C@@H]1CCCN1CCc1cc2cc(ccc2o1)-c1ccc(cc1)C#N,9818903,
20,BRD-K37714784,C(N1CCN(CC1)c1ccccn1)c1nc2ccccc2[nH]1,5025739,
21,BRD-K56301217,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1,11228183,
22,BRD-K01621533,C[C@@H]1O[C@H](O[C@@H]2[C@H](CO)O[C@H](O[C@@H]3[C@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O,129010024,2
23,BRD-A29260609,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,1978,
24,BRD-K07753030,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,4342,
25,BRD-A65051990,CC(=O)CC(c1ccc(cc1)[N+]([O-])=O)c1c(O)c2ccccc2oc1=O,54676537,
26,BRD-K43457670,CC(=O)Nc1nnc(s1)S(N)(=O)=O,1986,
27,BRD-K67174965,CC(=O)N[C@H](CS)C(O)=O,94364,
28,BRD-K72215350,CC(=O)NCCCCCC(O)=O,2005,
29,BRD-A29520968,CC1(OC(=CC1=O)C(O)=O)c1ccccc1,51576,
30,BRD-K63736853,Cc1cnc(c[n+]1[O-])C(O)=O,5310993,
31,BRD-K13050541,N[C@H]([C@@H]1CC(Cl)=NO1)C(O)=O,16758175,
32,BRD-K74363950,OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1,11434515,
33,BRD-K50163129,Cc1ccc(cc1)C(=C/CN1CCCC1)\c1cccc(\C=C\C(O)=O)n1,5284514,
34,BRD-K33483813,CC(=O)Nc1ccc(CC(O)=O)cc1,2018,
35,BRD-K82928847,ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c1ccccc1)c1ccccc1,53340666,
36,BRD-K32318651,Nc1nc2n(COCCO)cnc2c(=O)[nH]1,135398513,
37,BRD-K33127281,COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O,60164,
38,BRD-K00152668,OC(=O)\C=C\c1ccc(cc1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2,9864378,
39,BRD-K67789209,O=C(NCCN1CCN(CC1)c1ncccn1)C12CC3CC(CC(C3)C1)C2,130918,
40,BRD-K01577834,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,60961,
41,BRD-K34870043,Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2cccc3OCCOc23)c1,9887537,
42,BRD-K40718343,CCN1CCN(Cc2ccc(cc2)-c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2)CC1,10297043,
43,BRD-K66175015,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,10184653,
44,BRD-A58767537,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,22225683,
45,BRD-K69247067,Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O,2040,2
46,BRD-A56371469,Cc1nccn1CC(=O)N(C(C(=O)NC1CCCCC1)c1ccccc1C)c1cccc(F)c1,56645356,2
47,BRD-K04691817,FC(F)(F)c1cccc(NC(=O)Nc2cc(ccc2-c2ccsc2)S(=O)(=O)NC2CC2)c1,71299339,
48,BRD-K32536677,Clc1ccc(Cl)c(c1)c2ccc(/C=C(\C#N)/C(=O)Nc3cccc4ncccc34)o2,2130404,
49,BRD-K84698278,COc1ccc2cccc(CCNC(C)=O)c2c1,82148,
50,BRD-K91495480,CCCCCCCCCCCCCCCCCCCCCC(O)=O,8215,
51,BRD-A67373739,NC(=O)c1ncn(C2OC(COP(O)(O)=O)C(O)C2O)c1N,200,
52,BRD-K04887706,O=c1[nH]c2ccccc2n1C3CCN(Cc4ccc(cc4)c5nc6cc7[nH]cnc7cc6nc5c8ccccc8)CC3,135398501,
53,BRD-K96029467,Cc1sc[n+](CC(=O)c2ccccc2)c1C,216305,
54,BRD-A14966924,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,2081,
55,BRD-K79131256,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,2082,
56,BRD-K11267252,CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N1CCC(CC1)N1CCOCC1,49806720,
57,BRD-K75295174,COc1cc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2OC)ccc1C(O)=O,24771867,
58,BRD-K30020243,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)ccc1OC,5493444,
59,BRD-A03061970,COc1cc2[nH]nnc2cc1C(=O)NCC1CCCN1CC=C,43008,
60,BRD-K86307448,O=c1[nH]cnc2[nH]ncc12,135401907,
61,BRD-K82677201,Fc1ccc(cc1)C(N1CCN(CC1)c1nc(NCC=C)nc(NCC=C)n1)c1ccc(F)cc1,33887,2
62,BRD-K84810405,CNC(=O)[C@H](N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(cc1)C(F)(F)F)c1ccccc1,23727689,
63,BRD-K54997624,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(c1)C(C)(C)C(F)(F)F,56649450,
64,BRD-K73691377,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](O)CC(=O)[C@H]1CCCCCCC(O)=O,15922487,2
65,BRD-K00610438,Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,3033677,2
66,BRD-K14619660,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(O)CC=C,76973971,2
67,BRD-K67043667,CN(C)c1nc(nc(n1)N(C)C)N(C)C,2123,2
68,BRD-K23499943,CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(C)=C/C=C\[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O,99719310,
69,BRD-K07857022,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(O)=O)CC[C@@]1(C)c1cccc(O)c1,5488548,
70,BRD-K87909389,CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl,5287969,
71,BRD-K68191783,Cc1cn(cn1)-c1cc(cc(c1)C(F)(F)F)C(=O)Nc1ccc(C)c(NC(=O)c2ccno2)c1,24880028,
72,BRD-K22096725,Cc1ccc(cc1Nc1cncc(c1)C(N)=O)C(=O)Nc1cccc(c1)C(F)(F)F,24875320,
